左经度,右经度,下纬度,上纬度,开始时间,结束时间,component 6,flag,username,timestamp
180,190,30,40,20200601,20200930,D:\OneDrive\heat_budget\flagged\component 6\tmps8hh1bpk.png,,,2023-05-25 15:38:38.930030
180,190,30,40,20200601,20200930,D:\OneDrive\heat_budget\flagged\component 6\tmpfmp7nrnu.png,,,2023-05-25 16:10:52.791051
